Letter,Abbreviation,Definition
C,cHTML,Compact Hypertext Markup Language
C,cPanel,control panel
C,cROI,companywide ROI
C,caps, capital letters
C,cbr files,Comic Book Archive
C,cc,carbon copy
C,ccNSO,Country Code Names Supporting Organization
C,ccTLD,country code Top-Level Domain
C,cellphone,Cellular Telephone
C,chat,conversational hypertext access technology
C,coax,coaxial (cable)
C,colo,co-location
C,com (.com),commercial
C,cpi,characters per inch
C,cps,Characters Per Second
C,crypto,Cryptography
C,ctrl,control
D,D channel,X
D,D&I,Drop And Insert
D,D2D,disk-to-disk
D,D2D2T,disk-to-disk-to-tape
D,DA,Destination Address
D,DAA,Distributed Application Architecture
D,DAB,Digital Audio Broadcast 
D,DAC,digital-to-analog converter 
D,DACL,X
D,DACS,Digital Access and Cross Connect System
D,DAE,Disk Array Enclosure
D,DAFS,Direct Attached File System
D,DAL,Dedicated Advertiser Location
D,DAM,"  Database Activity Monitoring 
 Digital Asset Management "
D,DAMA,demand assigned multiple access
D,DAML,DARPA Agent Markup Language
D,DAO,Disk-At-Once
D,DAP,Directory Access Protocol
D,DAR,"  Data at rest
  Disk ARchive"
D,DARPA,Defense Advanced Research Project                   Agency 
D,DAS,distributed antenna system
D,DASH,Desktop and mobile Architecture for System Hardware
D,DAST,Dynamic Application Security Testing 
D,DAT,digital audio tape
D,DAVID,Digital Audio Video Interactive Decoder
D,DB,Database
D,DB2,Database 2
D,DB9,D sub-miniature 9
D,DBA,database administrator
D,DBCS,Double-Byte Character Set
D,DBMS,Database Management System
D,DBS,direct broadcast satellite
D,DCAP,Data Link Switching Client Access Protocol
D,DCB,Data Center Bridging 
D,DCBU,D-channel backup
D,DCC," Data Country Code
 Digital Command Control
 Direct Client-to-Client"
D,DCCP,Datagram Congestion Control Protocol
D,DCE," Data Communications Equipment
 Distributed Computing Environment "
D,DCO,Device Configuration Overlay
D,DCOM,Distributed Component Object Model
D,DCS,Desktop color separation 
D,DCT,Digital Cordless Telephone 
D,DDAP,Digital Distribution of Advertising for Publications
D,DDBMS,Distributed database management system
D,DDCMP,Digital Data Communications Message Protocol
D,DDD,Data Display Debugger
D,DDE,Dynamic Data Exchange
D,DDI," Device Driver Interface
 Direct Dialling-In
 DNS, DHCP & IP address"
D,DDL,Data Definition Language
D,DDN,Digital Data Network
D,DDNS,Dynamic Domain Name System
D,DDP,Datagram Delivery Protocol 
D,DDR,double-data-rate
D,DDS," Dataphone digital service
 digital data service
 Digital Data Storage"
D,DDSA,digital data service adapter 
D,DDT,Disk-to-Disk-to-Tape
D,DDoS,Distributed Denial of Service 
D,DEA,Data Encryption Algorithm
D,DEC,Digital Equipment Corporation
D,DECT,Digital Enhanced Cordless Telecommunications 
D,DEK,data encryption key
D,DEL,DELETE
D,DEN,Directory Enabled Network
D,DEP," Data Execution Prevention 
 dynamic enterprise publishing"
D,DES," Data Encryption Standard
 Dynamic Energy Saver"
D,DET,Directory Entry Table
D,DFI,Design for Innovation
D,DFL,design for logistics
D,DFM,"  design for manufacturability
  Device Fault Manager
  Digital Flash Media"
D,DGC,Distributed garbage collection 
D,DHA,directory harvest attack 
D,DHCP,Dynamic Host Configuration Protocol
D,DHTML,Dynamic HyperText Markup Language
D,DHX,Diffie-Hellman Exchange
D,DI,Dispatch In
D,DIA,"  data  integration  and 
          access
  Dedicated Internet Access"
D,DICOM,Digital Imaging and Communications in Medicine
D,DID,direct inward dial
D,DIF,Directory Interoperability Forum
D,DIIOp,Dominio Internet Inter-Orb Protocol
D,DIMM, Dual In-line Memory Module
D,DIP,Dual Interface Poll
D,DIPP,Dual Inline Pin Package
D,DIR,DIRectory
D,DISA," Defense Information Systems Agency
 Data Interchange Standards Association"
D,DIT,Directory Information Tree
D,DITTO,"Data Interfile Transfer, Testing and Operations"
D,DIX,"Digital,  Intel ,  Xerox"
D,DKI,Driver Kernel Interface
D,DKMS,Dynamic Kernel Module Support
D,DL," Density Line
 double-layer"
D,DLC,Digital Loop Carrier
D,DLCI,data link connection identifier
D,DLDP,Device Link Detection Protocol 
D,DLE,data link escape
D,DLL,dynamic link library
D,DLM,data life cycle management
D,DLOS," Direct Line-of-sight
 Desktop Line-of-sight"
D,DLP," data leak prevention
 Digital Light Processing"
D,DLPBC,Dual Loop Port Bypass Circuitry
D,DLPI,Data Link Provider Interface
D,DLR,Design Layout Record
D,DLT,Digital Linear Tape
D,DM,Data Mining
D,DMA,Direct Memory Access 
D,DMAA,"Discrete Mathematics, Algorithms and Applications"
D,DMB,Dhtml Menu Builder
D,DMCA,Digital Millennium Copyright Act
D,DME,distributed management environment 
D,DMI, Desktop Management Interface
D,DML,Data Manipulation Language 
D,DMO,Distributed Management Object
D,DMS,Digital Multiplex Systems
D,DMT,Discrete Multi-Tone
D,DMZ,demilitarized zone
D,DNA,"  Deoxyribonucleic acid
  Distributed Network Architecture"
D,DNIC,data network identification code
D,DNLC,Directory Name Lookup Cache
D,DNR,Digital Noise Reduction
D,DNS,Domain Name Service / Server / System
D,DNSBL,"DNS Based List, DNS Blacklist, or DNS Blocklist. "
D,DNSSEC,Domain Name System SECurity extensions 
D,DO,Dispatch Out
D,DO-IT,"Disabilities, Opportunities, Internetworking and Technology"
D,DOA,Dead On Arrival
D,DOCSIS,Data-over-Cable Service Interface Specifications
D,DOM,"  distributed output management
  Document Object Model"
D,DOMAIN,Distributed Operating Multi Access Interactive Network
D,DOP,Dilution  Of  Precision
D,DOS,Disk Operating System
D,DOV,Data-Over-Voice
D,DPA,"
 Document Printing Application
"
D,DPC,Destination Point Code 
D,DPF,Database Partitioning Feature 
D,DPI," deep packet inspection
  Distributed Protocal Interface"
D,DPMA,Dynamic Power Management Architecture 
D,DPMI,Dos Protected Mode                   Interface
D,DPN,Data Packet Network
D,DPV,Distributed Partitioned View
D,DPW,Digital Pulse Wireless
D,DPtoTP,Display Coordinates TO Tablet Coordinates
D,DQM,Data Quality Manager 
D,DR,disaster recovery
D,DRAC,Dell Remote Assistant Card
D,DRAM,Dynamic Random Access Memory
D,DRE,Document Rendering Engine
D,DRF,Data Recovery Field
D,DRM," Data Relationship Management
 digital rights management"
D,DROP,delivery of real-time execution information protocol
D,DRP," Disaster Recovery Plan
 Distribution and Replication Protocol"
D,DRU,Disc Remastering Utility
D,DRW,Defect Remediation Window
D,DRi,Disaster Recovery Institute 
D,DS,Differentiated Service
D,DS0,Digital Subscriber Level Zero
D,DS1,Digital Signal Level 1
D,DSA," Digital Signature Algorithm 
 Distributed Systems Architecture"
D,DSAP,Destination Service Access Point
D,DSBM,Designated Subnet Bandwidth Manager
D,DSE,Directory Services Environment
D,DSI,Dynamic Systems Initiative
D,DSL," Digital Subscriber Line 
 Domain-Specific Language
 Dual Stress Liner"
D,DSLAM,DSL Access Multiplexer
D,DSM,dependency structure matrix
D,DSM-CC,Digital storage media command and control
D,DSML,Directory Service Markup Language
D,DSN,dealer software network
D,DSO,data source object 
D,DSOM,Distributed System Object Model
D,DSP,digital signal processor
D,DSR," Data Set Ready
 Dynamic Source Routing"
D,DSS,igital Signature Standard
D,DSSA,Distributed System Security Architecture
D,DSSS,Direct Sequence Spread Spectrum
D,DSTN,Double-layer Supertwist Nematic
D,DSTP,Data Space Transfer Protocol
D,DSU,Digital Service Unit
D,DSVD,Digital Simultaneous Voice and Data
D,DSX,Digital System Cross-connect frame
D,DSn,digital signal level n
D,DTD,Document Type Definition
D,DTDS,Disaster Tolerant Disk Systems
D,DTE,Data Terminal Equipment
D,DTM," Document Table Model
 Dynamic synchronous Transfer Mode"
D,DTMF,Data Tone Multiple Frequency
D,DTML,Document Template Mark-up Language
D,DTN,Disruption Tolerant Networking
D,DTP,Desktop publishing 
D,DTR,Data Terminal Ready
D,DTS,Digital Theater System
D,DTTV,Digital Terestial Televison
D,DUAL,Diffusing Update Algorithm
D,DUL,Dial Up List 
D,DUN,Dial-Up Networking
D,DUNS,Data Universal Numbering System
D,DUOW,X
D,DUPS,Digital Unbundled Port Services
D,DUV,Data Under Voice
D,DUW,X
D,DV, Digital video
D,DVB-H,Digital Video Broadcasting - Handhelds
D,DVB-SH,Digital Video Broadcasting - Satellite services to Handhelds
D,DVBMHP,Digital Video Broadcasting Multimedia Home Platform
D,DVCD,Double Video CD
D,DVD,Digital Versatile Disc
D,DVI,"Digital Video Interface, originally Digital Video Disc"
D,DVMRP,Distance Vector Multicast Routing Protocol
D,DVRs,Digital video/Versatile  recorders
D,DWDM,dense wave division multiplexing
D,DWF,Design Web Format
D,DWM,Desktop Windows Manager 
D,DWS,Dialable Wideband Service
D,DX,DirectX / Direct X
D,DXF,Drawing Interchange Format
D,DXI,Data Exchange Interface
D,DaaS,desktops-as-a-service
D,Daemon,Disk And Execution MONitor
D,Demarc,Demarcation Point
D,Demux,demultiplexer
D,DiffServ,Differentiated Services
D,Digerati,digital version of literati (Italian)
D,Dirid,Directory identifier
D,Disc,X
D,Disk,X
D,Divx,DIgital Video Express
D,DoS,denial of service
D,Dolly,Digital Dolly
D,d-channel,X
D,d-commerce,digital commerce
D,dBm,decibels milliwatt
D,db,Decibel
D,defrag,defragment 
D,dpi, Dots Per Inch
D,du,disk usage
D,dxdiag,directx diagnostics
D,dyld,dynamic link editor 
D,Â DoCoMo,Do Communication over the Mobile network
E,E Phone,Emergency    Phones.
E,E&M,recEive and transMit (or ear and mouth)
E,E1,Â 
E,E2,Â 
E,E2E,End-to-End
E,E3,Â 
E,EA," Electronic Arts 
 Enterprise Agreement"
E,EAB,Enterprise Address Book
E,EAI,Enterprise application integration
E,EAL,Evaluation Assurance Level 
E,EAM,Event Aggregation Module 
E,EAP,Extensible Authentication Protocol 
E,EAR,Emergency Assistance Request
E,EARL,Enhanced Address Recognition Logic
E,EAS,enterprise application server
E,EASDAQ,European Association of Securities Dealers Automated Quotations
E,EAT,End Around Test
E,EAX,Environmental Audio
E,EB,Exabyte
E,EBCDIC,Extended Binary Coded Decimal Interchange Code
E,EBIF,Enhanced TV Binary Interchange Format
E,EBML,Extensible Binary Meta Language
E,EBPP,Electronic Bill Presentation and Payment
E,EBS,E-Business Suite 
E,EC2,Elastic Compute Cloud 
E,ECB," electronic code book 
 Event Control Block"
E,ECC," elliptic curve cryptography
 Error Checking and Correction"
E,ECEM,enterprise carbon and energy management 
E,ECHS,"Extended Cylinders, Heads, Sectors"
E,ECM,Enterprise content management 
E,ECMA,European Computer Manufacturers Association
E,ECMP,Equal Cost Multipath Routing
E,ECO,Engineering Change Order
E,ECP,electronic check presentment
E,ECS,Extended Character Set
E,ECTF,Enterprise Computer Telephony Forum
E,ED2K,eDonkey2000
E,EDA, event-driven architecture
E,EDC,"electronic dispersion compensation
Electronic Data Capture 
"
E,EDGE,Enhanced Data Rates for GSM Evolution
E,EDI,Electronic Data Interchange
E,EDIFACT,"Electronic Data Interchange For Administration, Commerce and Transport"
E,EDM,"  Electronic Document Management
  EMC Data Manager"
E,EDO,Extended Data Output
E,EDS,Electronic Data Systems
E,EDW,enterprise data warehouse
E,EEPROM,Electrical Erasable Programmable Read Only Memory
E,EF,Expedited Forwarding
E,EFI, Extensible Firmware Interface
E,EFM,Enterprise fraud and misuse management 
E,EFS,"  Encrypting File System
 Error Free Seconds "
E,EFT,Electronic Funds Transfer
E,EGA,Enhanced Graphics Adapter
E,EGL,Enterprise Generation Language
E,EGNOS,"European Geostationary Navigation Overlay 
          Service"
E,EGP,Exterior Gateway Protocol
E,EH&S,"Environmental, Health and 
          Safety"
E,EHA,Ethernet Hardware Address 
E,EHR,Electronic Health Record
E,EIA," Electronic Industries Alliance
 enterprise information architecture "
E,EIGRP,Enhanced Interior Gateway Routing Protocol
E,EII,"enterprise integration 
          information"
E,EIM," Enterprise Identity Mapping 
 enterprise information management"
E,EIRP,Effective Isotropic Radiated Power
E,EIS,enterprise information system
E,EIST,Enhanced Intel SpeedStep Technology
E,EJB,Enterprise JavaBeans
E,EKTS,electronic key telephone set
E,ELAN,Emulated Local Area Network
E,ELM,Expertise location and management
E,ELT,"extract, load, and transform"
E,EMA,Enterprise Management Associates
E,EMC,Electromagnetic Compatibility
E,EMF," ElectroMagnetic Field
 ElectroMotive Force"
E,EMI,"  Electromagnetic interference
 Enhanced Multilayer Image "
E,EMOTICON,EMOTion ICON
E,EMPI,Enterprise Master Patient Index
E,EMR,electronic medical record
E,EMS," Enhanced Messaging Service
 enterprise messaging system
 Expanded Memory Specification"
E,EMV,Europay-MasterCard-Visa
E,ENIW,Web-enabled Ethernet Networking Interface
E,ENQ,Enquiry
E,ENS,enterprise nervous system
E,ENTL,Electronic New Hire/Termination/Leave of Absence
E,ENUM,electronic numbering / Electronic Number Mapping system
E,ENX,European Network Exchange
E,EOF,end-of-file
E,EOL,End Of Life
E,EPABX,Electronic Private Automatic Branch Exchange
E,EPG(s),electronic program guides
E,EPGs,electronic program guides
E,EPIC,Explicitly Parallel Instruction Computing
E,EPL,Ethernet Private Line 
E,EPM,Enterprise Performance Management
E,EPN,Extended Port Network
E,EPO,emergency power off 
E,EPOC,Electronic Piece of Cheese
E,EPP," Enhanced Parallel Port
 Enterprise Portal Platform"
E,EPR," Electronic Patient Record
 EndPoint Reference"
E,EPROM,Erasable Programmable Read Only Memory
E,EPS," Encapsulated PostScript
 Events Per Second "
E,EPU,Energy Processing Unit
E,ERL,Echo Return Loss
E,ERMS,"electronic records management 
          systems"
E,ERP," Enterprise resource planning
 error recovery procedure"
E,ERR,ERRor
E,ES-IS,End System to Intermediate System
E,ESA, Enthusiast System Architecture 
E,ESB,enterprise service bus
E,ESCD,Extended System Configuration Data
E,ESCON,Enterprise Systems Connection
E,ESDI,Enhanced Small Device Interface
E,ESE,Extensible Storage Engine
E,ESF,Extended Superframe Format
E,ESG,Enterprise Strategy Group
E,ESI,Edge Side Include
E,ESL,electronic shelf labels
E,ESM,Enterprise Service Management 
E,ESN,electronic serial number
E,ESP," estimated street price
 Encapsulated Security Payload"
E,ESPN,Entertainment and Sports Programming Network
E,ESRB,Entertainment Software Rating Board
E,ESS," employee self-service
 Extended Service Set "
E,ETA,Embedded Transport Acceleration
E,ETAS,Encrypted Transaction Audit System
E,ETC,Enhanced Throughput Cellular
E,ETL,"Extract, Transform and Load"
E,ETN,electronic tandem network
E,ETRN,Extended Turn
E,ETSI,European Telecommunications Standardisation Institute
E,ETTb,Ethernet To The Business
E,ETTh,Ethernet To The Home
E,ETX,end-of-text character
E,EUC,Extended UNIX Code
E,EUEM,end user experience monitoring
E,EULA,End-User License Agreement
E,EUP,Enterprise Unified Process
E,EVA, Enterprise Virtual Array
E,EVDO,Evolution Data Only/Evolution Data Optimized
E,EWS,Early Warning Status
E,EX,exchange 
E,EXE,EXEcutable
E,EXIF,EXchangeable Image File format
E,E_D_TOV,error detect timeout value 
E,EoS,X
E,EoSDH,X
E,Eutelsat,European Telecommunications Satellite Organization
E,e-,Electronic 
E,e-discovery,Electronic discovery 
E,e-paper,Electronic paper
E,eCI,eCommerce integrator 
E,ePC,electronic product code
E,ePO,EPolicy Orchestrator
E,eRX,e-Prescribing
E,edress,e-mail address 
E,etc,Essential Text Configuration
F,FA,Foreign Agent
F,FACCH,Fast Associated Control Channel 
F,FAN,File Area Network
F,FAQ,Frequently Asked Questions
F,FAR,false acceptance rate 
F,FARE,Film Automatic Retouching and Enhancement
F,FASS,Fast Access Station Switching 
F,FAST,"  Federation Against Software Theft
  File And Settings Transfer"
F,FAT,file allocation table
F,FAW,Frame Alignment Word 
F,FAX,FACSimile
F,FBA,fixed-block architecture 
F,FBD,Fully Buffered DIMM
F,FBGA,Fine-pitch Ball Grid Array
F,FBSS,Fast Base Station Switching
F,FC,X
F,FC-AL,Fibre Channel Arbitrated Loop
F,FCC,Federal Communications Commission
F,FCCH,Frequency Correction Channel
F,FCD,Floating car data or floating cellular data
F,FCH,Frame Control Header
F,FCIP,Fibre Channel over Internet Protocol
F,FCL,Framework Class Library
F,FCP, Fibre Channel Protocol
F,FCPGA,Flip Chip Pin Grid Array
F,FCS,"  Fluorescence Correlation Spectroscopy 
  Frame Check Sequence"
F,FCSI,Fibre Channel Systems Initiative
F,FCoE,Fibre Channel over Ethernet
F,FDD,Frequency Division Duplex
F,FDDI,Fiber Distributed Data Interface
F,FDE,Full-disk encryption 
F,FDM,"  Feature Download Management
  Frequency Division Multiplexing 
  fused 
            deposition modeling"
F,FDS,Fraud Detection System
F,FDX,Full Duplex
F,FE,"  Fast Ethernet
  field engineer"
F,FEC,Forward Error Correction
F,FECN,Forward Explicit Congestion Notification
F,FEFO,"First Ended, First Out"
F,FEMA,Failure mode and effects analysis
F,FEP,Front-End Processor
F,FER,Frame Erasure/Error Rate
F,FERPA,Family Educational Rights and Privacy Act 
F,FET,field effect transistor
F,FEXT,Far End Cross Talk
F,FFD,Flicker Free Display
F,FFPF,fairly fast packet filter
F,FFT,Fast Fourier Transform
F,FG A/B/C/D,feature group A/B/C/D
F,FHS,Fan Heat-Sink
F,FHSS,Frequency Hopped Spread Spectrum
F,FICON,Fiber Connection
F,FIDNET,Federal Intrusion Detection Network
F,FIFO,"first in, first out"
F,FIGS,Figures Shift
F,FIM,federated identity management
F,FINDDEST,Find Destination
F,FINRA,Financial Industry Regulatory Authority 
F,FIPS,Federal Information Processing Standards
F,FIR,Finite Impulse Response 
F,FIRST,Forum of Incident Response and Security Teams
F,FISMA,Federal Information Security Management Act
F,FIX,Financial Information Exchange
F,FLAC,Free Lossless Audio Codec
F,FLAG,Fiber Link Around the Globe
F,FLOGI,fabric login
F,FLOPS,Floating Point Operations Per Second
F,FM,Frequency Modulation
F,FM-200,Firemaster / Fire Master 200
F,FMA99,Financial Services Modernization Act of 1999
F,FMC,fixed-mobile convergence
F,FMEA,Failure Mode and Effects Analysis
F,FMH,function management header
F,FMV,Full-Motion Video
F,FOC,Field Oriented Control
F,FOIRL,FiberOptic InterRepeater Link
F,FOMA,Freedom of Mobile Multimedia Access
F,FOP,Formatting Objects Processor
F,FORTRAN,formula translation 
F,FOSS,Free and open source software
F,FOSSIL,Fido Opus Seadog Standard Interface Layer
F,FOT,Fiber Optic Terminal
F,FOTS,Fiber Optic Transmission System
F,FPA,Function point analysis
F,FPE,Forefront Protection for Exchange
F,FPGA,Field Programmable Gate Array
F,FPM,Fast Page Mode
F,FPP,Full Product Package
F,FPS,Flexible Payments Service
F,FPU,floating point unit
F,FQDN,Fully Qualified Domain Name
F,FR,Frame Relay 
F,FRAD,Frame Relay Access Device
F,FRAG (21),Financial Reporting & Auditing Group Guidelines
F,FRDS,Failure Resistant Data Systems
F,FRED,Fair Random Early Detection
F,FRR,fast retransmit and recovery
F,FRS,File Replication Service
F,FRU,field-replaceable unit
F,FSAA,Full Screen Anti-Aliasing 
F,FSAM,Federated Storage Area Management
F,FSB,frontside bus
F,FSM,finite state machine 
F,FSML,Financial Services Markup Language
F,FSMO,Flexible Single Master Operations
F,FSN,Full-Service Network
F,FSPF,fibre channel shortest path first
F,FSS,File system server
F,FSSS,Fast Serving Station Switching
F,FSTC,Financial Services Technology Consortium
F,FTA,failure to acquire
F,FTAM,"File Transfer,                                                   Access, and Management"
F,FTBFS,Fails To Build From Source
F,FTDS,Failure Tolerant Data Systems
F,FTL,Flash Translation Laye
F,FTNS,Fixed Telecommunication Network Services
F,FTP,File Transfer Protocol
F,FTTB,Fiber to the building 
F,FTTN,Fiber to the neighborhood 
F,FUD,"Fear, Uncertainty, and Doubt"
F,FUSC,Fully Used SubChannel
F,FW,Firewall
F,FWA,Fixed wireless access
F,FX,foreign exchange
F,FXO,Foreign Exchange Office
F,FXP,"  File eXchange Protocol
  Foreign Exchange Protocol
  fxp "
F,FXS,Foreign Exchange Station
F,FiOS,Fiber Optic Service
F,FoIP,Fax Over Internet Protocol
F,FpML,Financial Products Markup Language
F,FreeBSD,Free Berkeley Software Distribution 
F,favicon,favorites icon
F,freeware,free software 
G,G,giga
G,G2C,Government to Citizen
G,GAIA,GUI Application Interoperability Architecture
G,GAMS,General Algebraic Modeling System 
G,GAP,"Groups, Algorithms and Programming"
G,GAPE,Google Apps Premier Edition
G,GARP,Generic Address Resolution Protocol
G,GB,Gigabyte
G,GBIC, GigaBit Interface Converter
G,GBP,group buffer pool
G,GCC,GNU Compiler Collection 
G,GCD,Grand Central Dispatch
G,GCG,Grey Component Replacement
G,GCGID,graphic character global identifier 
G,GCI,General Communication Inc.
G,GD&T,geometric dimensioning and tolerancing
G,GDB,GNU debugger 
G,GDI,Graphics Device Interface
G,GDM," global 
          delivery model "
G,GDP,Gateway Discovery Protocol
G,GDPS,Geographically Dispersed Parallel Sysplex
G,GDS,Global data synchronization
G,GDSN,Global Data Synchronization Network
G,GDTs,Global data types
G,GEAR,Gigabyte Enhanced Agp Riser
G,GEDCOM,GEnealogical Data COMmunication
G,GEMMS,Global Enterprise Manufacturing Management System
G,GEO,X
G,GEOS,graphic environment operating system 
G,GERAN,GSM(GPRS)/EDGE Radio Access Network
G,GEnie,General Electric Network for Information Exchange
G,GFP,Generic Framing Procedure
G,GFS,"Grandfather, Father, Son"
G,GGP,Gateway-gateway protocol 
G,GGSN,Gateway GPRS Support Node
G,GHC,Glasgow Haskell Compiler
G,GIAC,Global Information Assurance Certification
G,GID,group identification number
G,GIF,Graphic Interchange Format
G,GIFT,GNU Image Finding Tool 
G,GIGO,"Garbage In, Garbage Out."
G,GIMP,Gnu Image Manipulation Program
G,GINA,Graphical Identification and Authentication
G,GINI,Gateway Interface for Network Initialization
G,GIOP,General Inter-ORB Protocol
G,GIS,Geographical Information System
G,GIX,Global Internet eXchange
G,GKTMP,Gatekeeper Transaction Message Protocol
G,GLA,Generic Log Adapter
G,GLB,X
G,GLBA,X
G,GLONASS,Global Navigational Satellite System
G,GLPK,GNU Linear Programming Kit 
G,GLUT,openGL Utility Toolkit
G,GMA,Gmail Drive
G,GMM,GPRS Mobility Management 
G,GMR,Giant Magneto Resistance
G,GMRP,Garp Multicast Registration Protocol
G,GMRS,General Mobile Radio Service
G,GMS,"  generalized main scheduling
 General MIDI Standard
 Global Messaging Service 
  Google Message Security"
G,GMSK,Gaussian Minimum Shift Keying
G,GMX,"Global Mail eXchange, in Germany: Global Message eXchange"
G,GNAT,GNU NYU Ada Translator
G,GNN,Global Network Navigator
G,GNOME,GNU Network Object Model Environment
G,GNSO,Generic Names Supporting Organization
G,GNU ,GNU's not Unix
G,GOCA,Graphic Object Content Architecture
G,GOLC,Growth Opportunity License Charge
G,GOMS," Goals, Operators, Methods, and Selection rules"
G,GOPS,Giga (billion) Operations Per Second
G,GOS,Grade of Service
G,GOSIP,Government OSI Profile
G,GOW,"Gears of War
God of War "
G,GPF,General Protection Fault
G,GPIO,general-purpose I/O
G,GPL,General Public License
G,GPO,Group Policy Object 
G,GPRS,general packet radio service
G,GPS," Global Positioning System
  GNAT Programming Studio"
G,GPSL,General Purpose Scripting Language
G,GPSS,General Purpose Simulation System
G,GPU,Graphics Processing Unit
G,GPWW,group practice without walls
G,GRC,"governance, risk and compliance"
G,GRC.SQ,"Governance, Risk Management, Compliance, Security, and Data Quality"
G,GRCM,GRC management
G,GRE,generic routing encapsulation
G,GROW,GNU Remote Operations                                                   Web
G,GRT,Granular Recovery Technology
G,GSAM,generalized sequential access method
G,GSC,Gecko System Connect 
G,GSI,Gigascale Integration
G,GSK,Global Security Kit
G,GSM,Global System for Mobile communication
G,GSO,global sign-on 
G,GSR,Gigabit Switch Router
G,GTL,Gunning Transceiver Logic
G,GTM," global trade management
 Global Traffic Manager"
G,GTP,GPRS Tunneling Protocol 
G,GTS,Generic Traffic Shaping
G,GTT,Global Title Translation
G,GUA,graphical user authentication 
G,GUI,Graphical User Interface 
G,GUID,Globally Unique  Identifier
G,GUTBN,Globally Unique Time Based Number
G,GVN,Global value numbering
G,GVPN,Global Virtual Network Service
G,GVRP,Generic VLAN Resolution Protocol
G,GVU,"Graphic, Visualization, and Usability"
G,GWEN,Ground Wave Emergency Network 
G,GWT,Google Web Toolkit
G,GXA,Global XML Web Services Architecture
G,GXS,"Global 
          eXchange Services"
G,Gas,GNU Assembler
G,Gbps,gigabits per second
G,Ghost,General Hardware-Oriented Software Transfer 
G,GiB,X
G,gb,Giga bit
G,gfortran,GNU Fortran compiler
G,gib,X
G,grep,global-regular-expression-print
G,gzip,GNU zip
H,H&H,Hoot & Holler
H,H/S LAN,High-Speed Local-Area Network
H,H3C,(previous) Huawei Technologiesâ3Com
H,HA,high availability
H,HAAT,Height Above Average Terrain
H,HACMP,High-Availability Cluster Multi-Processing
H,HAD,Holographic Autostereoscopic Display
H,HADR,high availability disaster recovery
H,HAE,Height Above  Ellipsoid
H,HAL,Hardware Abstraction Layer
H,HAN,home area network
H,HARC,Hitachi Asynchronous Remote Copy
H,HARQ,Hybrid Automatic Repeat reQuest 
H,HASP,Houston Automatic Spooling Program
H,HAT,Heap Analysis Tool
H,HAVi,Home Audio Video interoperability
H,HBA,host bus adapter
H,HCI," Host Controller Interface
 Human-Computer Interaction"
H,HCL,Hardware Compatibility List
H,HCM,human capital management
H,HCO,High-Capacity Optical 
H,HCR,Huffman Codeword Reordering
H,HCT,hardware compatibility tests
H,HD,X
H,HD DVD,high-density DVD
H,HDA,Head Disk Assembly
H,HDCP,High-bandwidth Digital Content Protection
H,HDD,X
H,HDLC,High Level Data Link                                                   Control
H,HDMI,High-Definition Multimedia Interface
H,HDML,Handheld Device Markup Language
H,HDR,"High-dynamic-range imaging or High-dynamic-range rendering 
host-discovered resource"
H,HDS,Hitachi Data Systems
H,HDSL,High bit-rate Digital Subscriber Line
H,HDTP,Handheld Device Transport Protocol 
H,HDTV,High Definition television 
H,HDx,X
H,HE-AAC,"High Efficiency Advanced Audio 
          Coding"
H,HEC,Header Error Control
H,HEL,Hardware Emulation Layer
H,HEP,horizontal enterprise portal
H,HERF,high energy radio frequency
H,HFC,Hybrid Fiber Coax
H,HFS,Hierarchical File System
H,HFS+,Hierarchical File System Plus
H,HGFS,Host-Guest File System
H,HGML,Hypertext General Markup Language
H,HHO,Hard Hand Off
H,HHT,Hand-Held Terminal
H,HID," High-Intensity Discharge
 Human Interface Device"
H,HIDAM,hierarchical indexed direct access method
H,HIDS,Host based Intrusion Detection System
H,HIL,Hardware-in-the-Loop
H,HIMEM,HIgh MEMory
H,HIP, Host Identity Protocol
H,HIPAA,Health Insurance Portability and Accountability Act
H,HIPPI,HIgh Performance Parallel Interface
H,HIS,healthcare information system
H,HISAM,hierarchical indexed sequential access method 
H,HITECH,Health Information for Economic and Clinical Health 
H,HIToolbox,Human Interface Toolbox
H,HKCC,HKey_Current_Config
H,HKLM,HKey_Local_Machine
H,HL7,Health Level 7 
H,HLA,High Level Architecture
H,HLLAPI,High Level Language Application Programming Interface
H,HLR,Home Location Register 
H,HMA,High Memory Area
H,HMD,Head Mounted Display
H,HMP,Hybrid Multiprocessing
H,HOSED,Hardware Or Software Error Detected
H,HP," Hewlett-Packard
 HoneyPot"
H,HPA,High Performance Addressing
H,HPB,High Ping Bastard
H,HPC,High Performance Computing
H,HPF,High Pass Filter
H,HPFS,High Performance File System
H,HPGL,Hewlett-Packard Graphics Language
H,HPIB,Hewlett Packard Interface Bus
H,HPNA,Home Phoneline Networking Alliance
H,HPR,High-Performance Routing
H,HR,horizontal rule
H,HRAA,High Resolution Anti Aliasing
H,HRC,Hitachi Remote Copy
H,HRMS,human resource management system
H,HRPD,High Rate Packet Data
H,HSB,X
H,HSCSD,High Speed Circuit Switched Data
H,HSD,High Speed Data
H,HSDPA,High-Speed Downlink Packet Access 
H,HSF," Heat Sink Fan
 High Sierra Format"
H,HSIL,Host Side Igmp Library
H,HSM," Hardware Security Module
 Hierarchical storage management"
H,HSO,Hot Spot Operator 
H,HSR,Horizontal Scan Rate
H,HSRP,Hot Standby Router Protocol
H,HSS,Home Subscriber Service 
